Männervorname,URI
Beat Ludwig,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00265
Heboch,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00266
Abel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00267
Grossjakob,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00268
Lüpold,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00269
Gervasius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00270
Berchtold,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00271
Rupolz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00272
Hektor,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00273
Peter Paul,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00274
Rutsch,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00275
Hans Christoph,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00276
Damian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00277
Beat Wilhelm,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00278
Rochius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00279
Esajas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00280
Rüeger,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00281
Carius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00282
Bernhardin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00283
Wehrli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00284
Hans Titus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00285
Charis,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00286
Georg Michael,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00287
Laurenz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00288
Viktor,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00289
Bizi,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00290
Ulysses,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00291
Grossheinrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00292
Stottli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00293
Fritz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00294
Siegfried,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00295
Lukas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00296
Reinhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00297
Elogius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00298
Johann Christoph,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00299
Brunhans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00300
Vital,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00301
Kleinrudolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00302
Eustachius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00303
Beat Joachim,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00304
Job,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00305
Enderli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00306
Hans Philipp,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00307
Eucharius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00308
Cimprecht,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00309
Dominikus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00310
Rennwart,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00311
Bilgeri,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00312
Beringer,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00313
Gladi,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00314
Zachäus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00315
Arnold,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00316
Sylvester,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00317
Raphael,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00318
Dale,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00319
Matern,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00320
Thüring,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00321
Bonifatius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00322
Asimus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00323
Hans Viktor,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00324
Marsilius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00325
Itelhans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00326
Wernli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00327
Hans Hug,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00328
Hans Lienhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00329
Ezechias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00330
Moses,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00331
Martyr,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00332
