Nachname,URI
Münsinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Muensinger
Zwingger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zwingger
Bischof,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bischof
Stoll,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stoll
Wonlich,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wonlich
Egger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Egger
Ernst,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ernst
Gnehm,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gnehm
Freihofer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Freihofer
Mahler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mahler
Bretscher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bretscher
Knäblin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Knaeblin
Leibensberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Leibensberger
Rüppli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rueppli
Fisler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fisler
Escher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Escher
Stachenmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stachenmann
Schönwiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoenwiler
Aegerter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Aegerter
Düringer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dueringer
Grob,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Grob
Breitfelder,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Breitfelder
Reif,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Reif
Peter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Peter
Wüst,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wuest
Stein,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stein
Kunz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kunz
Sprüngli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spruengli
Bäschlin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baeschlin
Gärtner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gaertner
Zuber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zuber
Rosenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rosenberger
Kronauer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kronauer
Dickli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dickli
Schön,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoen
Stahel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stahel
Spiller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spiller
Wurster,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wurster
Bühler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Buehler
Schönenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoenenberg
Glinz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Glinz
Schlatter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schlatter
Wyder,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wyder
Grossholz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Grossholz
Rüedi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rueedi
Stadelmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stadelmann
Pfister,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Pfister
Schleusser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schleusser
Schöchli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoechli
Berger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Berger
Maurer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Maurer
Eisen,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eisen
Wisinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wisinger
Schrott,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schrott
Käufeler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kaeufeler
Binder,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Binder
Wessenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wessenberg
Horner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Horner
Wetter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wetter
Süsstrunk,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Suesstrunk
