Nachname,URI
Varro,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Varro
Joho,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Joho
Gründer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gruender
Planche,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Planche
Hochmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hochmann
Risi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Risi
Gnyp,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gnyp
Nahr,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Nahr
Schürer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schuerer
Rickenbrot,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rickenbrot
Glattbach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Glattbach
Durandet,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Durandet
Gnägi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gnaegi
Riss,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Riss
Gercusca,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gercusca
de Piperellis,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_de_Piperellis
Hofhalter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hofhalter
Dambach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dambach
Gibel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gibel
Schüepp,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schueepp
Rusnilla,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rusnilla
Küssler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kuessler
Tubenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Tubenberger
Rigaud,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rigaud
